date,price,open,high,low,change_percent
12/31/2024,5881.63,5919.74,5929.74,5868.860000000001,-0.43%
12/30/2024,5906.94,5920.67,5940.79,5869.160000000001,-1.07%
12/27/2024,5970.84,6006.17,6006.17,5932.95,-1.11%
12/26/2024,6037.59,6024.969999999999,6049.75,6007.37,-0.04%
12/24/2024,6040.04,5984.63,6040.1,5981.44,1.10%
12/23/2024,5974.07,5940.25,5978.25,5902.57,0.73%
12/20/2024,5930.85,5842,5982.06,5832.3,1.09%
12/19/2024,5867.08,5912.71,5935.52,5866.07,-0.09%
12/18/2024,5872.160000000001,6047.6500000000005,6070.67,5867.79,-2.95%
12/17/2024,6050.610000000001,6052.55,6057.68,6035.1900000000005,-0.39%
12/16/2024,6074.08,6063.79,6085.1900000000005,6059.14,0.38%
12/13/2024,6051.09,6068.17,6078.58,6035.7699999999995,0.00%
12/12/2024,6051.25,6074.29,6079.68,6051.25,-0.54%
12/11/2024,6084.1900000000005,6060.1500000000005,6092.59,6060.1500000000005,0.82%
12/10/2024,6034.91,6057.59,6065.4,6029.89,-0.30%
12/09/2024,6052.85,6083.01,6088.51,6048.63,-0.61%
12/06/2024,6090.2699999999995,6081.38,6099.969999999999,6079.98,0.25%
12/05/2024,6075.110000000001,6089.03,6094.55,6072.9,-0.19%
12/04/2024,6086.49,6069.39,6089.84,6061.06,0.61%
12/03/2024,6049.88,6042.969999999999,6052.07,6033.39,0.05%
12/02/2024,6047.1500000000005,6040.110000000001,6053.58,6035.33,0.24%
11/29/2024,6032.38,6003.98,6044.17,6003.98,0.56%
11/27/2024,5998.74,6014.110000000001,6020.160000000001,5984.87,-0.38%
11/26/2024,6021.63,6000.03,6025.42,5992.2699999999995,0.57%
11/25/2024,5987.37,5992.28,6020.75,5963.91,0.30%
11/22/2024,5969.34,5944.360000000001,5972.9,5944.360000000001,0.35%
11/21/2024,5948.71,5940.58,5963.320000000001,5887.26,0.53%
11/20/2024,5917.110000000001,5914.34,5920.67,5860.56,0.00%
11/19/2024,5916.98,5870.05,5923.51,5855.29,0.40%
11/18/2024,5893.620000000001,5874.17,5908.120000000001,5865.95,0.39%
11/15/2024,5870.620000000001,5912.79,5915.320000000001,5853.01,-1.32%
11/14/2024,5949.17,5989.68,5993.88,5942.28,-0.60%
11/13/2024,5985.38,5985.75,6008.1900000000005,5965.91,0.02%
11/12/2024,5983.99,6003.6,6009.92,5960.08,-0.29%
11/11/2024,6001.35,6008.860000000001,6017.31,5986.6900000000005,0.10%
11/08/2024,5995.54,5976.76,6012.45,5976.76,0.38%
11/07/2024,5973.1,5947.21,5983.84,5947.21,0.74%
11/06/2024,5929.04,5864.89,5936.14,5864.89,2.53%
11/05/2024,5782.76,5722.429999999999,5783.44,5722.1,1.23%
11/04/2024,5712.6900000000005,5725.1500000000005,5741.429999999999,5696.51,-0.28%
11/01/2024,5728.8,5723.22,5772.52,5723.22,0.41%
10/31/2024,5705.45,5775.34,5775.34,5702.860000000001,-1.86%
10/30/2024,5813.67,5832.6500000000005,5850.94,5811.28,-0.33%
10/29/2024,5832.92,5819.68,5847.1900000000005,5802.17,0.16%
10/28/2024,5823.52,5833.929999999999,5842.92,5823.08,0.27%
10/25/2024,5808.120000000001,5826.75,5862.820000000001,5799.98,-0.03%
10/24/2024,5809.860000000001,5817.8,5817.8,5784.92,0.21%
10/23/2024,5797.42,5834.5,5834.85,5762.41,-0.92%
10/22/2024,5851.2,5832.7,5863.04,5821.17,-0.05%
10/21/2024,5853.98,5857.820000000001,5866.92,5824.79,-0.18%
10/18/2024,5864.67,5859.429999999999,5872.17,5846.110000000001,0.40%
10/17/2024,5841.469999999999,5875.620000000001,5878.46,5840.25,-0.02%
10/16/2024,5842.469999999999,5816.58,5846.52,5808.34,0.47%
10/15/2024,5815.26,5866.74,5870.360000000001,5804.48,-0.76%
10/14/2024,5859.85,5829.81,5871.41,5829.57,0.77%
10/11/2024,5815.03,5775.09,5822.13,5775.09,0.61%
10/10/2024,5780.05,5778.360000000001,5795.03,5764.76,-0.21%
10/09/2024,5792.04,5751.8,5796.8,5745.02,0.71%
10/08/2024,5751.13,5719.14,5757.6,5714.56,0.97%
10/07/2024,5695.94,5737.8,5739.34,5686.85,-0.96%
10/04/2024,5751.07,5737.48,5753.21,5702.83,0.90%
10/03/2024,5699.94,5698.1900000000005,5718.78,5677.37,-0.17%
10/02/2024,5709.54,5698.14,5719.63,5674,0.01%
10/01/2024,5708.75,5757.73,5757.73,5681.28,-0.93%
09/30/2024,5762.48,5726.52,5765.14,5703.53,0.42%
09/27/2024,5738.17,5755.360000000001,5763.78,5727.34,-0.13%
09/26/2024,5745.37,5762.22,5767.37,5721.01,0.40%
09/25/2024,5722.26,5733.6500000000005,5741.03,5712.06,-0.19%
09/24/2024,5732.929999999999,5727.660000000001,5735.320000000001,5698.99,0.25%
09/23/2024,5718.57,5711.9,5725.360000000001,5704.22,0.28%
09/20/2024,5702.55,5709.64,5715.14,5674.49,-0.19%
09/19/2024,5713.64,5702.63,5733.57,5686.42,1.70%
09/18/2024,5618.26,5641.68,5689.75,5615.08,-0.29%
09/17/2024,5634.58,5655.51,5670.81,5614.05,0.03%
09/16/2024,5633.09,5615.21,5636.05,5604.53,0.13%
09/13/2024,5626.02,5603.34,5636.2699999999995,5601.6500000000005,0.54%
09/12/2024,5595.76,5557.48,5600.71,5535.5,0.75%
09/11/2024,5554.13,5496.42,5560.41,5406.96,1.07%
09/10/2024,5495.52,5490.51,5497.91,5441.72,0.45%
09/09/2024,5471.05,5442.07,5484.2,5434.49,1.16%
09/06/2024,5408.42,5507.33,5522.469999999999,5402.620000000001,-1.73%
09/05/2024,5503.41,5520.08,5546.3,5480.54,-0.30%
09/04/2024,5520.07,5506.68,5552.99,5503.660000000001,-0.16%
09/03/2024,5528.929999999999,5623.89,5623.89,5504.33,-2.12%
08/30/2024,5648.4,5612.74,5651.37,5581.79,1.01%
08/29/2024,5591.96,5607.3,5646.95,5583.71,0.00%
08/28/2024,5592.18,5624.51,5627.03,5560.95,-0.60%
08/27/2024,5625.8,5602.89,5631.18,5593.48,0.16%
08/26/2024,5616.84,5639.660000000001,5651.620000000001,5602.34,-0.32%
08/23/2024,5634.610000000001,5602.49,5641.820000000001,5585.160000000001,1.15%
08/22/2024,5570.64,5637.7699999999995,5643.22,5560.95,-0.89%
08/21/2024,5620.85,5603.09,5632.68,5591.57,0.42%
08/20/2024,5597.120000000001,5602.88,5620.51,5585.5,-0.20%
08/19/2024,5608.25,5557.23,5608.3,5550.74,0.97%
08/16/2024,5554.25,5530.5,5561.98,5525.17,0.20%
08/15/2024,5543.22,5501.13,5546.23,5501.13,1.61%
08/14/2024,5455.21,5442.360000000001,5463.22,5415.91,0.38%
08/13/2024,5434.429999999999,5376.98,5436.5,5376.98,1.68%
08/12/2024,5344.39,5351.88,5371.2,5324.37,0.00%
08/09/2024,5344.160000000001,5314.660000000001,5358.67,5300.84,0.47%
08/08/2024,5319.31,5252.57,5328.03,5233.85,2.30%
08/07/2024,5199.5,5293.13,5330.64,5195.54,-0.77%
08/06/2024,5240.03,5206.42,5312.34,5193.56,1.04%
08/05/2024,5186.33,5151.14,5250.89,5119.26,-3.00%
08/02/2024,5346.56,5376.63,5383.89,5302.03,-1.84%
08/01/2024,5446.68,5537.84,5566.160000000001,5410.42,-1.37%
07/31/2024,5522.3,5505.59,5551.51,5493.75,1.58%
07/30/2024,5436.44,5478.73,5489.46,5401.7,-0.50%
07/29/2024,5463.54,5476.55,5487.74,5444.44,0.08%
07/26/2024,5459.1,5433.67,5488.320000000001,5430.7,1.11%
07/25/2024,5399.22,5428.7,5491.59,5390.95,-0.51%
07/24/2024,5427.13,5505.84,5508.04,5419.98,-2.31%
07/23/2024,5555.74,5565.3,5585.34,5550.9,-0.16%
07/22/2024,5564.41,5544.54,5570.360000000001,5529.04,1.08%
07/19/2024,5505,5543.37,5557.5,5497.04,-0.71%
07/18/2024,5544.59,5608.56,5614.05,5522.81,-0.78%
07/17/2024,5588.2699999999995,5610.07,5622.49,5584.81,-1.39%
07/16/2024,5667.2,5644.09,5669.67,5639.02,0.64%
07/15/2024,5631.22,5638.160000000001,5666.94,5614.75,0.28%
07/12/2024,5615.35,5590.76,5655.56,5590.44,0.55%
07/11/2024,5584.54,5635.21,5642.45,5576.53,-0.88%
07/10/2024,5633.91,5591.26,5635.39,5586.44,1.02%
